French,Spanish,English,FrCommon
revisser,atornillar de nuevo,screw again,Rare
revitaliser,revitalizar,revitalize,Common
revivifier,revivificar,revivify,Rare
revivre,revivir,relive,Very Common
revoir,revisar,review,Very Common
révolter,revoltar,revolt,Common
révolutionner,revolucionar,revolutionize,Common
révoquer,revocar,revoke,Less Common
revouloir,querer de nuevo,want again,Rare
révulser,revolucionar,revolt,Rare
rhabiller,vestir de nuevo,dress again,Common
ricaner,burlarse,sneer,Common
rider,arrugar,wrinkle,Less Common
ridiculiser,ridiculizar,ridicule,Common
rigoler,reírse,laugh,Very Common
rimer,rimar,rhyme,Common
rincer,enjuagar,rinse,Common
riposter,replicar,retaliate,Common
rire,reír,laugh,Very Common
risquer,arriesgar,risk,Very Common
rissoleer,rissolear,brown,Less Common
ristourner,reembolsar,refund,Rare
rivaliser,rivalizar,compete,Common
riveter,remachar,rivet,Less Common
robotiser,robotizar,robotize,Rare
roder,rodar,hone,Common
rôder,merodear,prowl,Common
rogner,recortar,trim,Common
romancer,novelizar,romance,Rare
rompre,romper,break,Very Common
ronchonner,rezongar,grumble,Common
ronfler,roncar,snore,Common
ronger,roer,gnaw,Common
ronronner,ronronear,purr,Common
rosir,enrojecer,redden,Rare
rosser,golpear,beat up,Less Common
roter,eructar,burp,Common
rôtir,asar,roast,Very Common
roucouler,arrullar,coo,Less Common
rouer,azotar,flog,Rare
rougeoyer,enrojecer,glow red,Rare
rougir,ruborizarse,blush,Very Common
rouiller,oxidarse,rust,Less Common
rouler,rodar,roll,Very Common
roulotter,hacer rodar,tumble,Rare
roussis,chamuscar,scorch,Less Common
rouvrir,reabrir,reopen,Very Common
rudoyer,maltratar,bully,Less Common
ruer,arrojar,rush,Less Common
rugir,rugir,roar,Common
ruiner,arruinar,ruin,Very Common
ruisseler,manar,stream,Less Common
ruminer,rumiar,ruminate,Common
ruser,engañar,deceive,Common
rutiler,resplandecer,gleam,Rare
rythmer,ritmar,set to rhythm,Common
saboter,sabotear,sabotage,Common
sabler,esparcir arena,sand,Less Common
saborder,hundir,scuttle,Less Common
sabrer,cortar con sable,slash,Less Common
saccader,sacudir,jerk,Less Common
saccager,saquear,sack,Common
sacraliser,sacralizar,sacralize,Rare
sacrer,coronar,crown,Common
sacrifier,sacrificar,sacrifice,Very Common
saigner,sangrar,bleed,Very Common
saisir,agarrar,seize,Very Common
salairer,salar,pay a salary,Less Common
saler,salar,salt,Very Common
salir,ensuciar,dirty,Very Common
saliver,salivar,salivate,Common
saluer,saludar,greet,Very Common
sanctifier,santificar,sanctify,Less Common
sanctionner,sancionar,sanction,Common
sangler,fajar,strap,Less Common
sangloter,sollozar,sob,Common
saouler,emborrachar,get drunk,Common
sarcler,desherbar,weed,Less Common
satelliser,satelizar,satellite,Rare
satiner,satinado,satin,Less Common
satisfaire,satisfacer,satisfy,Very Common
saturer,saturar,saturate,Common
saucer,salsear,sauce,Less Common
saupoudrer,espolvorear,sprinkle,Common
sauter,saltar,jump,Very Common
sautiller,dar saltitos,hop,Common
sauvegarder,salvaguardar,safeguard,Very Common
sauver,salvar,save,Very Common
savoir,saber,know,Very Common
savonner,enjabonarse,soap,Less Common
savourer,saborear,savor,Common
scandaliser,escandalizar,scandalize,Common
scander,escandir,chant,Common
sceller,sellar,seal,Common
schématiser,esquematizar,schematize,Less Common
scier,serrar,saw,Common
scinder,dividir,split,Common
scintiller,centellear,sparkle,Common
scolariser,escolarizar,school,Less Common
scruter,escrutar,scrutinize,Common
sculpter,esculpir,sculpt,Common
sécher,secar,dry,Very Common
secondaire,secundar,second,Common
secourir,socorrer,rescue,Very Common
sécréter,secretar,secrete,Common
sectionner,seccionar,section,Common
sécuriser,asegurar,secure,Very Common
sédentariser,sedentarizar,settle,Rare
séduire,seducir,seduce,Very Common
segmenter,segmentar,segment,Less Common
séjourner,pernoctar,sojourn,Common
sélectionner,seleccionar,select,Very Common
seller,vender,sell,Common
sembler,parecer,seem,Very Common
semer,sembrar,sow,Very Common
sensibiliser,sensibilizar,sensitize,Common
sentir,sentir,feel,Very Common
seoir,asentarse,sit,Less Common
séparer,separar,separate,Very Common
séquestrer,secuestrar,sequester,Less Common
sérirer,ordenar,series,Rare
sermonner,sermonear,sermonize,Common
serpenter,serpentear,meander,Common
serrer,apretar,tighten,Very Common
sortir,salir,go out,Very Common
servir,servir,serve,Very Common
sévir,castigar,clamp down,Common
sevrer,destetar,wean,Less Common
sidérer,asombrar,amaze,Less Common
siéger,presidir,preside,Very Common
siffler,silbar,whistle,Very Common
signaler,señalar,signal,Very Common
signaliser,señalizar,signpost,Less Common
signer,firmar,sign,Very Common
signifier,significar,signify,Very Common
sillonner,recorrer,crisscross,Common
simplifier,simplificar,simplify,Very Common
simuler,simular,simulate,Common
singer,imitar,ape,Less Common
singulariser,singularizar,single out,Less Common
siphonner,sifonar,siphon,Less Common
situer,situar,locate,Very Common
skier,esquiar,ski,Common
socialiser,socializar,socialize,Less Common
soigner,cuidar,care,Very Common
solariser,solarizar,solarize,Rare
solder,saldar,settle,Common
solfier,solfear,sight-read,Rare
solidariser,solidarizar,solidify,Less Common
solidifier,solidificar,solidify,Common
soliloquer,soliloquiar,soliloquize,Rare
solliciter,solicitar,solicit,Very Common
solutionner,solucionar,solve,Common
somatiser,somatizar,somatize,Rare
sombrer,hundir,sink,Common
sommeiller,dormitar,doze,Less Common
sommer,conminar,summon,Common
somnoler,cabecear,doze,Common
sonder,sondear,sound,Very Common
songer,soñar,think,Very Common
sonner,sonar,ring,Very Common
sonoriser,sonorizar,sound,Less Common
sophistiquer,sofisticar,sophisticate,Rare
sortir,salir,go out,Very Common
soucier,preocupar,worry,Common
souder,soldar,weld,Common
soudoyer,sobornar,bribe,Less Common
souffler,soplar,blow,Very Common
souffleter,bofetear,slap,Less Common
souffrir,sufrir,suffer,Very Common
soufrer,sulfatar,sulfur,Rare
souhaiter,desear,wish,Very Common
souiller,ensuciar,soil,Common
soulager,aliviar,relieve,Very Common
soulever,levantar,lift,Very Common
souligner,subrayar,underline,Very Common
soumettre,someter,submit,Very Common
soupçonner,sospechar,suspect,Very Common
souper,cenar,have dinner,Common
soupirer,suspirar,sigh,Common
sourciller,fruncir el ceño,frown,Less Common
sourire,sonreír,smile,Very Common
souscrire,suscribir,subscribe,Very Common
soustraire,sustraer,subtract,Common
soutenir,apoyar,support,Very Common
soutirer,sonsacar,extract,Less Common
souvenir,recordar,remember,Very Common
se souvenir,acordarse,to remember,Common
spécialiser,especializar,specialize,Very Common
spécifier,especificar,specify,Very Common
spéculer,especular,speculate,Common
spiritualiser,espiritualizar,spiritualize,Rare
stabiliser,estabilizar,stabilize,Common
stagner,estancarse,stagnate,Common
standardiser,estandarizar,standardize,Less Common
stationner,estacionar,park,Very Common
statuer,dictaminar,rule,Common
statufier,estatutario,statue,Rare
sténographier,estenografiar,stenograph,Rare
stéréotyper,estereotipar,stereotype,Less Common
stigmatiser,estigmatizar,stigmatize,Common
stimuler,estimular,stimulate,Very Common
stipuler,estipular,stipulate,Common
stocker,almacenar,store,Very Common
stopper,detener,stop,Very Common
stratifier,estratificar,stratify,Rare
strier,estriar,stripe,Rare
structurer,estructurar,structure,Very Common
stupéfier,asombrar,amaze,Common
styler,estilizar,style,Rare
styliser,estilizar,stylize,Less Common
subdiviser,subdividir,subdivide,Less Common
subir,sufrir,suffer,Very Common
subjuguer,subyugar,subjugate,Common
sublimer,sublimar,sublimate,Common
submerger,sumergir,submerge,Common
subodorer,oler,sniff,Rare
subordonner,subordinar,subordinate,Less Common
suborner,sobornar,suborn,Rare
subroger,subrogar,subrogate,Rare
subsister,subsistir,subsist,Common
substituer,sustituir,substitute,Very Common
subtiliser,sutileza,make subtle,Less Common
subvenir,subvenir,provide for,Less Common
subventionner,subvencionar,subsidize,Common
succéder,suceder,succeed,Very Common
succomber,sucumbir,succumb,Common
sucer,chupar,suck,Common
suffire,bastar,suffice,Very Common
suffoquer,sofocar,suffocate,Common
suggérer,sugerir,suggest,Very Common
suicider,suicidarse,commit suicide,Less Common
suinter,rezumar,ooze,Less Common
suivre,seguir,follow,Very Common
sulfater,sulfatar,sulfate,Less Common
superposer,superponer,superimpose,Common
superviser,supervisar,supervise,Very Common
supplanter,suplantar,supplant,Common
supplémenter,suplementar,supplement,Rare
supplicier,torturar,torture,Rare
supplier,suplicar,plead,Very Common
supporter,soportar,bear,Very Common
supposer,suponer,suppose,Very Common
supprimer,suprimir,suppress,Very Common
supputer,suponer,suppose,Less Common
surchauffer,sobrecalentar,overheat,Less Common
surélever,elevar,raise,Common
surenchérir,sobrepujar,outbid,Common
surentraîner,sobreentrenar,overtrain,Rare
surexposer,sobreexponer,overexpose,Rare
surfaire,sobrevalorar,overrate,Less Common
surfiler,sobrehilar,overlock,Rare
surgeler,congelar,deep-freeze,Common
surgir,surgir,arise,Very Common
surir,agriar,turn sour,Rare
surmonter,superar,overcome,Very Common
surnager,flotar,float,Less Common
surnommer,apodar,nickname,Common
surpasser,superar,surpass,Very Common
surpayer,pagar de más,overpay,Less Common
surplomber,sobrecargar,overhang,Less Common
surprendre,sorprender,surprise,Very Common
surproduire,sobreproducir,overproduce,Less Common
sursauter,sobresaltarse,startle,Very Common
surseoir,aplazar,defer,Less Common
surtaxer,sobretasar,overcharge,Less Common
surveiller,vigilar,watch,Very Common
survenir,sobrevenir,occur,Very Common
survivre,sobrevivir,survive,Very Common
survoler,sobrevolar,fly over,Very Common
survolter,sobrecargar,overcharge,Less Common
susciter,suscitar,arouse,Very Common
suspecter,sospechar,suspect,Very Common
suspendre,suspender,suspend,Very Common
susurrer,susurrar,whisper,Common
suturer,suturar,suture,Less Common
symboliser,simbolizar,symbolize,Very Common
sympathiser,simpatizar,sympathize,Very Common
synchroniser,sincronizar,synchronize,Common
syncoper,síncope,syncopate,Less Common
syndiquer,sindicar,unionize,Common
synthétiser,sintetizar,synthesize,Very Common
systématiser,sistematizar,systematize,Common
tabler,apostar,bet,Less Common
tacher,manchar,stain,Common
tâcher,tratar,try,Very Common
tacheter,marcar,speckle,Less Common
taillader,cortar,slash,Common
tailler,tallar,cut,Very Common
taire,callar,keep quiet,Very Common
talonner,perseguir,pursue,Less Common
talquer,polvo de talco,powder,Rare
tambouriner,tamborilear,drum,Common
tamiser,tamizar,sift,Less Common
tamponner,tamponar,pad,Common
tanguer,bambolear,sway,Less Common
tanner,curtir,tan,Less Common
taper,golpear,hit,Very Common
tapir,esconderse,crouch,Less Common
tapisser,empapelar,wallpaper,Common
tapoter,dar golpecitos,tap,Common
taquiner,bromear,tease,Common
tarauder,perforar,drill,Less Common
tarder,tardar,delay,Common
tarifer,tarifar,tariff,Common
tarir,secarse,dry up,Common
tartiner,untar,spread,Common
tasser,apisonar,pack,Common
tâter,palpar,feel,Very Common
tâtonner,tantear,grope,Common
tatouer,tatuar,tattoo,Common
taxer,gravar,tax,Very Common
teindre,teñir,dye,Very Common
teinter,teñir,tint,Common
télécommander,teledirigir,remote control,Common
télécopier,telecopiar,fax,Common
télégraphier,telegrafiar,telegraph,Common
téléguider,teledirigir,remote control,Less Common
téléphoner,telefonear,telephone,Very Common
téléscoper,teledirigir,collide,Less Common
téléviser,televisar,televise,Very Common
témoigner,testimoniar,testify,Very Common
tempérer,moderar,temper,Common
tempêter,tempestad,storm,Common
temporiser,demorar,delay,Common
tenailler,tenaza,pinch,Less Common
tendre,tender,stretch,Very Common
tenir,mantener,hold,Very Common
tenter,intentar,try,Very Common
tergiverser,dudar,hesitate,Common
terminer,terminar,finish,Very Common
ternir,deslucir,tarnish,Common
terrasser,derribar,floor,Common
terrer,enterrar,bury,Less Common
terrifier,aterrorizar,terrify,Common
terroriser,aterrorizar,terrorize,Common
téter,mamar,suck,Less Common
tiédir,templar,cool down,Less Common
tigrer,tigrar,tiger,Rare
timbrer,sellar,stamp,Less Common
tinter,tintinear,ring,Common
tiquer,tic,tick,Common
tirailler,disparar,tear,Less Common
tirer,tirar,pull,Very Common
tisonner,atizar,poke,Less Common
tisser,tejer,weave,Very Common
titrer,titular,title,Common
tituber,tambalearse,stagger,Common
titulariser,titular,appoint,Less Common
toaster,tostar,toast,Less Common
toiler,toallita,wipe,Rare
toiletter,bañar,groom,Less Common
toiser,medir,measure,Less Common
tolérer,tolerar,tolerate,Very Common
tomber,caer,fall,Very Common
tondre,trasquilar,shear,Very Common
tonifier,tonificar,tonify,Less Common
tonner,tronar,thunder,Common
torcher,limpiar,wipe,Common
torchonner,trapear,mop,Rare
tordre,torcer,twist,Very Common
torpiller,torpedear,torpedo,Less Common
torrefier,tostar,roast,Rare
torsader,torsión,twist,Less Common
tortiller,torcer,twist,Less Common
torturer,torturar,torture,Common
totaliser,totalizar,total,Common
toucher,tocar,touch,Very Common
tourbillonner,remolinar,swirl,Common
tourmenter,atormentar,torment,Common
tournebouler,remolinar,swirl,Less Common
tourner,girar,turn,Very Common
tournicoter,remolinar,whirl,Rare
tournoyer,remolinar,whirl,Common
tousser,toser,cough,Very Common
toussoter,toser ligeramente,clear throat,Common
tracasser,preocupar,worry,Common
tracer,trazar,trace,Very Common
tracter,arrastrar,drag,Common
traduire,traducir,translate,Very Common
trafiquer,traficar,traffic,Common
trahir,traicionar,betray,Very Common
traînasser,holgazanear,dawdle,Common
traîner,arrastrar,drag,Very Common
traire,ordeñar,milk,Less Common
traiter,tratar,treat,Very Common
tramer,tramar,weave,Less Common
trancher,cortar,cut,Very Common
tranquilliser,tranquilizar,calm,Common
transborder,transbordar,ferry,Less Common
transcrire,transcribir,transcribe,Very Common
transférer,transferir,transfer,Very Common
transformer,transformar,transform,Very Common
transfuser,transfundir,transfuse,Less Common
transgresser,transgredir,transgress,Common
transhumer,transhumar,migrate,Rare
transiger,transigir,compromise,Less Common
transir,transitar,tremble,Less Common
transiter,transitar,pass through,Common
transmettre,transmettre,transmit,Very Common
transparaître,apparaître,appear,Less Common
transpercer,perforar,pierce,Common
transpirer,transpirar,transpire,Very Common
transplanter,trasplantar,transplant,Less Common
transporter,transportar,transport,Very Common
transposer,transponer,transpose,Common
transvider,transvasar,transvase,Rare
traquer,rastrear,track,Less Common
traumatiser,traumatizar,traumatize,Common
travailler,trabajar,work,Very Common
traverser,cruzar,cross,Very Common
travestir,travestirse,transvestite,Common
trébucher,tropezar,stumble,Very Common
trembler,temblar,tremble,Very Common
trembloter,titilar,tremble slightly,Common
trémousser,contonearse,wriggle,Less Common
tremper,empapar,soak,Very Common
trépaner,taladrar,trepan,Rare
trépasser,fallecer,pass away,Less Common
trépidoter,trepidar,tremble,Rare
tressauter,dar un respingo,jolt,Less Common
tresser,trenzar,braid,Common
tricher,hacer trampa,cheat,Very Common
tricoter,tejer,knit,Common
trier,clasificar,sort,Very Common
trifouiller,fisgonear,fiddle,Less Common
trimballer,llevar,haul,Common
trimer,trabajar duro,toil,Common
trinquer,brindar,clink glasses,Very Common
triompher,triunfar,triumph,Very Common
tripler,triplicar,triple,Less Common
tripoter,manosear,fiddle,Common
triturer,triturar,grind,Less Common
tromper,engañar,deceive,Very Common
tronçonner,tronzar,saw,Common
trôner,tronar,preside,Less Common
tronquer,troncar,truncate,Less Common
troquer,intercambiar,barter,Common
trotter,trotar,trot,Less Common
trottiner,trotesear,jog,Less Common
troubler,perturbar,trouble,Very Common
trouer,hacer un agujero,pierce,Less Common
trousser,fruncir,tuck,Less Common
trouver,encontrar,find,Very Common
se trouver,encontrarse,to be located,Common
truffer,rellenar,stuff,Common
truquer,falsificar,rig,Less Common
tuber,tubear,tube,Rare
tuer,matar,kill,Very Common
se tuer,matarse,to kill oneself,Common
tuiler,tejar,tile,Rare
tuméfier,hinchar,swell,Rare
tuteurer,tutelar,tutor,Rare
tutoyer,tutear,familiarize oneself,Very Common
se tutoyer,tutearse,to address each other informally,Rare
tuyauteur,instalar tuberías,pipe fitter,Rare
typer,escribir a máquina,type,Less Common
tyranniser,tirano,tyrannize,Less Common
ulcérer,ulcerar,ulcerate,Less Common
ululer,ulular,hoot,Rare
unifier,unificar,unify,Very Common
s'unifier,unificarse,to unify oneself,Rare
unir,unir,unite,Very Common
s'unir,unirse,to unite oneself,Common
urbaniser,urbanizar,urbanize,Common
user,usar,wear out,Very Common
s'user,desgastarse,to wear out,Common
usiner,industrializar,mill,Less Common
usurper,usurpar,usurp,Less Common
utiliser,utilizar,use,Very Common
s'utiliser,usarse,to be used,Common
vautrer,revolcarse,wallow,Common
végéter,vegetar,vegetate,Less Common
véhiculer,vehicular,convey,Common
veiller,vigilar,watch over,Very Common
se veiller,velarse,to stay awake,Rare
veiner,venar,vein,Rare
véler,parir,calve,Rare
velouter,terciopelar,velvet,Rare
vendanger,vendimiar,harvest grapes,Less Common
vendre,vender,sell,Very Common
se vendre,venderse,to sell oneself,Common
vénérer,venerar,venerate,Less Common
venger,vengar,avenge,Common
venir,venir,come,Very Common
venter,ventear,vent,Less Common
ventiler,ventilar,ventilate,Common
verbaliser,verbalizar,verbalize,Common
verdir,verdear,turn green,Common
verdoyer,verdear,turn green,Rare
verglacer,helar,glaze,Less Common
vérifier,verificar,verify,Very Common
vernir,barnizar,varnish,Common
vernisser,barnizar,varnish,Less Common
verrouiller,cerrar con llave,lock,Common
verser,verter,pour,Very Common
versifier,versificar,versify,Rare
vêtir,vestir,dress,Very Common
vexer,vexar,vex,Very Common
se vexer,ofenderse,to get offended,Rare
viabiliser,hacer viable,make viable,Less Common
vibrer,vibrar,vibrate,Very Common
vicier,viciar,vitiate,Less Common
vidanger,desaguar,drain,Less Common
vider,vaciar,empty,Very Common
se vider,vaciarse,to empty oneself,Common
vieillir,envejecer,age,Very Common
vilipender,vilipendiar,vilify,Less Common
vinifier,fermentar,ferment,Rare
violenter,violar,assault,Less Common
violer,violar,rape,Common
virer,girar,fire,Very Common
virevolter,revolotear,twirl,Common
virguler,poner coma,comma,Rare
viriliser,masculinizar,masculinize,Rare
viser,apuntar,aim,Very Common
visionner,visualizar,view,Very Common
visiter,visitar,visit,Very Common
visser,atornillar,screw,Common
visualiser,visualizar,visualize,Very Common
vitrailler,vidriar,glaze,Rare
vitrer,vidriar,glaze,Common
vitrier,vidriero,glazier,Less Common
vitupérer,vituperar,revile,Less Common
vivifier,vivificar,vivify,Less Common
vivoter,vivir a medias,scrape by,Common
vivre,vivir,live,Very Common
vocaliser,vocalizar,vocalize,Less Common
vociférer,vociferar,vociferate,Common
voguer,navegar,sail,Common
voiler,velar,veil,Common
voir,ver,see,Very Common
se voir,verse,to see oneself,Common
voler,robar,steal,Very Common
voleter,revolotear,flutter,Less Common
volter,voltear,vault,Less Common
voltiger,revolotear,flit,Common
vomir,vomitar,vomit,Very Common
voter,votar,vote,Very Common
vouer,dedicar,vow,Very Common
vouloir,querer,want,Very Common
voussoyer,usar usted,"use ""usted""",Less Common
voûter,arquear,arch,Less Common
vouyer,arriar,haul,Rare
voyager,viajar,travel,Very Common
vriller,taladrar,bore,Common
warrantar,garantizar,warrant,Rare
vrombir,zumbar,buzz,Less Common
vulcaniser,vulcanizar,vulcanize,Less Common
vulgariser,vulgarizar,popularize,Common
zébrer,rayar,stripe,Less Common
zester,raspar,zest,Rare
zézayer,cecear,lisp,Less Common
zigzaguer,zigzaguear,zigzag,Common
zinger,zinguear,galvanize,Rare
zozoter,balbucear,lisp,Less Common
